sentence,sentiment
"पहला एपिसोड मजबूरी में देखे थे, अब मजा आ रहा है।🤣😂😂🤣🤣",positive
वाह मर्दे सारा धागा तोड़ दिए मर्दे,positive
Ye humari bhasa h magahi❤️,positive
"Sad songs,, bahut badhiya 💕💕💕",positive
Bhut aches nach h,positive
"बिहार का सबसे गर्बर विश्वविद्यालय बाबा साहेब बिहार विश्वविद्यालय मुजफ्फरपुर , जहां 2014 में संचालित होने वाली कोर्स अभी 2022 में भी पूरी नहीं हुई है बिहार का एक मात्र ऐसा विश्वविद्यालय जहां छात्र हाई कोर्ट जाते है इसके बाद सुप्रीम कोर्ट जाते हैं माननीय SC के आदेश भी आती हैं 2019 में की सभी M. PHIL के जो पीड़ित छात्र हैं उसकी परीक्षा अविलंब लिया जाय किंतु विश्वविद्यालय मौन पड़ी है ये है विश्वविद्यालय की उदासीनता ! 😜",negative
और भाई आ गया स्वाद मगही का...विश्वजीत बहुत गर्दा  बनाये हो दूसरे भाषी के बीच मे रहके मगही सुनने को मिलता ही नही आपका वीडियो मुझे गॉव के मिट्टी से जोड़ती है ...धन्यावाद विश्वजीत भाई,positive
Jai sive,positive
विश्वजीत भईया को इस लेखन के लिए 100 तोपों की सलामी!  Bromine:- Atomic no. 35 and it's weight is 79.904|,positive
vah,positive
Khan sir ek sache Hindustani hai aur ham sab ka farj banta hai ki ek sache Hindustani ko full support kre🇮🇳jai hind.🇮🇳,positive
Jai mata diii....,positive
Superhit bahut Achcha,positive
नेपाल बिहार का पोता है 😂 रूस गया है भैया 😂😂,negative
Kya baat h... Hit likes for Rohit Sharma 💥🔥🔥,positive
मिथिलांचल के गौरव इसी गीत सब में मिलता है,positive
थोड़ा  सा भागलपुर यूनिवर्सिटी पर भी ध्यान दे दे तो हम लोगों  का भी कल्याण हो जाए,negative
Isme log jativad kyu kar rahe hai 😥😫,negative
Vishwajit bhaiya aap bihar ratn ho ❤,positive
बचपन मे पापा कैसेट लाकर ये गाना सीडी में बजाते थे आज भी याद हैं।।दूबारा गाना सुन कर यादे ताज़ा हो गयी।।।,positive
"ये ट्रेन, सरकारी संपत्ति आपके टैक्स के पैसे के हैं , ये आपके हैं, आपकी सुविधा के लिए हैं। एक बिस्कुट का पैकेट भी आप खरीदते हैं तो उसके टैक्स के पैसे लगे हैं उसमे। ये मोदी जी के पैसे का नहीं है भाई, ये आपके पैसे का है। किसी भी सरकारी संपत्ति का नुकसान न करें, शांतिपूर्ण प्रदर्शन करें।",positive
"Totally agree with dis content,n proudly say Anu ur my friend , kisi v topic ko aage lana koi tum se sikhe ♥️♥️♥️♥️♥️♥️",positive
"Khan sr ko dil se ""Salam"" kyonki wo hai Jita-Jagta ""Kalam"".Jay Hind.",positive
Bhai tohni itna aasan tarika se sb k  samaj k itna bara mudda k samjha de hau aur upar se hasi v aaba hai  Love you bro keep it up⬆🆙,positive
पर्यावरण के प्रति जागरूक करते रहिए।,positive
Sab Log Tweet Kro.... #Findpankajpathak,positive
haalat jitna kambakt hota hai bihari utna hi sakt hota hai jai hind jai bihar,positive
General hona gunah h....line😔,negative
up shishak bharti 2019 par comedi banaye bhai.,positive
#ShameOnMungerPolice #ShameOnBiharPolitics 100 % NOTA दबाइये और राजनैतिक दलों को तमाचा मारिये।,negative
जय हिंद कहीं ना कहीं इंडियन टीम का कमी महसूस हो रहा है बहुत दुख की बात है हमारे इंडिया टीम कमजोर दिखाई दे रहा है जय हिंद,mix
खान सर जिंदाबाद 🙏🙏 जय मगध❤️❤️ जय बिहार😘 जय हिन्द 🇮🇳🇮🇳,positive
इंडियन आर्मी रैली भर्ती 2020 स्पोर्ट्स कोटा साधारण भर्ती रिलेशन भर्ती वालों के लिए सुनहरा अवसर https://youtu.be/eZQEDunWXQ8।,positive
जय हो,positive
Hste hste pet drd(during listen ur language),positive
"Tag kro Nitish ji ko twitter pe, Bihar election se phle krwa lo jo krwa sko ek br election jeet gye ye fr se, to gya sab thande baste m",mix
Khan Sir mere sbse Acche teacher hain. Bhar me Jaye Pakistan. Love you khan Sir..,mix
"बिहार सरकार का छात्रो के प्रति जो रवैया है उसपे वीडियो बनाइये, छात्र नेता दिलीप कुमार के समर्थन में। Thank you guys",positive
"कॉमेडी के माध्यम से , वास्तिवकता को उजागर करने में आप सफल है । बहुत सारा प्यार❤️",positive
आप सब को छठ पूजा की हार्दिक शुभकामनाये आप सभी हमेशा खुश रहे✨💥i✨i,positive
Ye murkh khud bno samjhe padhe likhe ko murkh nahi bna sakte ho,negative
Khan sir is the best teacher                 Jai hind bhai,positive
"अरे बाप रे आज तो दिल मे आग लग गई,,",positive
Dislike karne wala lagta hai China ke baal Baccha Hai,negative
Jai Maa Ambe Jai Jagdambe 🙏🙏,positive
Bhaiya aaplog ka video bahut badhiya ek baar aisa boliye ki rapist log bhi dar jaaye,positive
Bihar ko hi kota me tabdil karne ka ek sunahara awasar h teacher log ka.,positive
