ids,sentence,sentiment
mag_231,Mar jaihe Jio tab khaiye gheev,negative
mag_090,Shuddh magadhi blog hako padh ke nitraiboo Na,negative
mag_115,हमनी के मगही और अपने के मैथिली दोनो बिहार के प्रचीन भाषा हई।,positive
mag_160,Jiyo bhai jiyo Shahrukh was cool Haha I appreciate your forward thinking towards our society Aa suna ekadh go aau mimicry video lawa dekhiyai tani tora different version me,positive
mag_075,बात ते एकदम ठीके कहलहुँ,positive
mag_210,Achha laglau bhiya,positive
mag_095,😂😂😂 Ekdm shi bolhi bhyba Aisahiye mehnat kr  Kamyabi miltai,positive
mag_051,Gjb Grda uda dela  Man geliyo tohni k sense of humor au acting k Jugal bhai k expression rowe wala k v hasha de hayi Aur viswa bhai k dilogue delivery faadu raha hayi,positive
mag_116,"Jio magadhi ,jio sher Aap aise bnao tnk u",positive
mag_054,😂😂 अरे भईया.. एकदम खराब लागित रहलौ अभी... लेकिन वीडियो देख के मिजाज़ खुश हो गइल एकदम 😬😅❣️,positive
mag_185,मुहवा में मूत देतो रे😜😜,negative
mag_214,Mja aagelo,positive
mag_195,हमर आगुआ ना आबित हो जी कुछो कर न 😂😂😂,negative
mag_126,Wah aapke humour ke saamne sab kehu fail ba ji,positive
mag_134,जब तक हको BJP तब तक बढ़ती BP,negative
mag_199,गर्दा कर देलहुँ भैवा👌👌😅😅,positive
mag_222,बहुत बढ़िया लगलवा 😍😍😍😍 मज़ा आ गेलवा 😍😍😍🥰🥰🥰,positive
mag_172,Kandaa dalhi ho kaa kariyo ham maghaiya hiyo ne aur jinagi bhar rahabo aur bhoolte koi magahi nai bhulte kabho bihari paribhasha jai magadh jai bihar jai hind,positive
mag_085,"मजा आ गे लो भाई। तस फल 🍎🍊🍌🍉🍇🍒🍍चाखा।  अंतिम दोहा बोल के,  😁😄😆😆",positive
mag_070,Dusra jat rhto ta may bap nahi krega why ijt ijt hota,mix
mag_073,Ekdm dil ke bat kahlahu Bhaiya,positive
mag_077,बेजोड़ मगही के कोय तोड़ न है हमनिये से न आशा पूरा बेजोड़ है हो,positive
mag_117,Jugalo ke samne lake jugalbandi karta hal to teeno ke tikadi ke koi tod na rahtwa hal Hamar man halwa teeno ke sath dekhe ke@vishwajeet pratap singh @ yugal kishor bharti,positive
mag_110,बेजोड़ टीम से आग्रह है कि एक बार एकरा खोल के देख लेहो जरी अउ शेयर कर देहो,positive
mag_052,Dadhiya तो सेट करा ला युगल।। बुरबक जइसन दाढ़ी रखले हा।,positive
mag_228,"लगबे ना करऽ हवऽ की घरे से बहरे हियई,  Tq VP bhaiya for entertaining us 😍",positive
mag_198,Tohni sab aisan baat kahe Kara hi be,positive
mag_061,Bhut achha likahklkin he chachaaankh me aasu aa gailay he,positive
mag_093,Nitin bhaiya hm rauwa snge kam krem Bihar se hmro bhut lgaw ba hmra ke ego mouka d please,positive
mag_118,Jia ho bihar ke lala 🙏👍,positive
mag_186,मसाला ना हलो वीडियो में,positive
mag_081,पलटू राम कहां है बे करवाई करो ऊ प्रताप रूडी पर,negative
mag_108,Piche he chahha baithal hakin unkar bhaisye bhaag rel h baat baar,negative
mag_079,मस्त विडियो बनैले ह भईया,positive
mag_173,इह कविता केय माध्यम सौं सभ गोटेय मूल विचार केय उभार के प्रयास केयलौं,positive
mag_135,Bahut nik video h,positive
mag_083,kyaa likha hai marde 🔥🔥  gardaa udaa diye 👏👏,positive
mag_071,भाई सच में मजा आ गेलो...😊😂💝💝,positive
mag_158,Love you Vishwa Bhai❤️👍 मंगरुआ के बकवास एक नंबर😀,positive
mag_152,Very good bhaiwa kha ghar hau tohni sab ke ho,positive
mag_069,"गजब भईया। तू लोग मिल के करा देहु बिहार पुलिस के 14, तारीख वाला Exam रद्द बरी नाम हो तई आप लोगन के 🙏🏻🙏🙏🙏🙏",negative
mag_206,"कभी बौरी , (खुदागंज ) के लाय खा के देख लेहू तब पता चल जैतो की सब मिठाई एकर सामने फेल हो। पूरे देश में ना मिलतो ऑयसान लाय।",positive
mag_084,करबे मर्दे बिहार के आगे बढयब  काहे टेंशन ले रहनी हं मर्दे,positive
mag_137,Maf kariha I batiya jo bhi bol rahal thin he unkar bolia thik na hai,negative
mag_226,बहुत सुंदर लिखलथी हे वाह,positive
mag_136,Ka ho vishwajit Kaisan ba???,positive
mag_184,Bahut achha lagalo,positive
mag_233,रोजगार न मिले के कारण एक अविवाहित पीड़ित जाती है भैया वो भी  जोड़ देह ☺️😊,negative
mag_114,बहुत बढ़िया हो भैया 🙏,positive
mag_060,Gajab biswa bhaiya... Marde Tu t hila delahu jee. Dil se izzaat hawa tora lagi... Love ❤you viswa bhaiya from Rohtas.,positive
mag_229,Haste haste aaj hum pgla gelueoo i like it🤣😂🤣😂,positive
mag_216,Aha bad Nik kaam Ko rahal chi,positive
mag_234,Aye ji Pachtaoge  GannaMa ke  Chamatkar kar  delu 👍👍👍👍👍👍👌👌👌👌👌👌☺️☺️,positive
mag_189,😂😂😂😂 ek no bhaiwa,positive
mag_140,तनी कोरोना के भी ध्यान रखल कर भैया। देखके लग रहले कि कोरोना खतम हो गलौ। एक दू गो आदमी मास्क पहनले हौ।  हम चाह हिये कि तू लोग स्वस्थ रहे और ऐसे ही वीडियो बनावल कर। 🙏🏻,positive
mag_207,बड़ी बढिया लगलव हो मिजाज खुश हो गेलवा,positive
mag_209,Ruk jahun Bhaiya Ekar Mai bahin Kare lagi hamaniyo taiyar hiyo,positive
mag_183,Garda ho 🤘,positive
