sentence,sentiment
"🛒🚶‍♀️ কাজগুলোকে আলিঙ্গন করা: Small Adventures in Everyday Life 🚶‍♂️🛒 আজ, ক্যামন ক চালানে কে লিএ ঝুকে এসে, ইন সাংসারিক কার্যন কী সাদাগী মেইন মাদাদ নাহিন কারাতে হাই, লেকিন খুশী পাতে হাই. . यह आकर्षक है कि कैसे सबसे सामान्य गतिविधियां भी छोटे रोमांच में बदल सकती हैं यदि हम उन्हें खुले दिमाग और जिज्ञासा के छिड़काव से संपर्क करें। The sight of neatly arranged garments তাদের মালিকদের সাথে পুনরায় মিলিত হওয়ার অপেক্ষায়  brought a sense of satisfaction.  Āsuna āmādēra kājagulikē arthapūrṇa muhurtagulitē pariṇata kari, sādhāraṇēra madhyē bidyamāna jādu udayāpana kari. 🌟🛒#EmbraceTheErrands#SmallAdventuresInEverydayLife",Neutral
"জিন্ডিজিমে আব মে ইন্সপায়ার নেহি পা রহি হু
 ""আমার আবেগকে পুনরুজ্জীবিত করার এবং inspirationপাওয়ার way খুঁজছি।"" Struggling to find motivation today,কোনো টিপস বা পরামর্শ ""आज प्रेरित होने में कठिनाई हो रही है, इस दुर्गंध से बाहर निकलने के तरीकों की तलाश कर रहे हैं।"" aj shuru korar onuperona khuje pete akti kothin somoy hosse""",Negative
"Unrequited love sometimes মনে হয় যেন এক never ending battle. किसी चीज़ (या किसी व्यक्ति) को चाहने से ज्यादा दर्दनाक कुछ भी नहीं है जो आपके पास नहीं हो सकता। দেয়ার নাথিং কোয়াইট অ্যাজ পেইনফুল এস ওয়ান্টিং সামওয়ান ইউ কাউন্ট হ্যাভ এটা মেনে নেওয়া কঠিন যে কেউ same feelings return করে না যেটা আপনি ওর জন্য করেন। ekatarapha pyaar aapako aisa mahasoos kara sakata hai ki aap kaaphee achchhe nahin hain, lekin yah sach nahin hai. asveekaar kie jaane ke baad apanee taakat aur lakshyon par vichaar karane ke lie kuchh samay lena.",Negative
"আপনার জীবনের একটি নির্দিষ্ট পর্যায়ে আপনাকে চিনতেন এমন লোকেদের সাথে পুনরায় মিলিত হওয়া আপনাকে মনে করিয়ে দিবে how much you've grown and changed since then সামায় অর দোস্ত এসা চিজ হে জো জিতনা পুরানা হতাহে উতনা মুলায়বান হতাহে जिन लोगों के साथ आपका संपर्क टूट गया है, उनसे मिलने से आपको अपने अतीत और अपनी जड़ों से अधिक जुड़ाव महसूस करने में मदद मिल सकती है। Attending a reunion একটি সুযোগ হতে পারে to let go of any grudges or negative feelings you may have had towards certain people and to start fresh. purano bondhuder sathe dekha hole mon fresh hoy kichu khoner jonno hole o dukkho vule thaka jay",Positive
"অনেক ঘন্টার পরিশ্রমের পর finally i
 completed this difficult puzzle! ইট ওয়াজ ডেফিনেটলি এ চ্যালেঞ্জ   বাট আই ডিডেন্ট গিভ আপ  এন্ড আই অ্যাম  সো প্রাউড  অফ মাইসেল্ফ  ফর ফিনিশিং  ইট।🤓🤓 इस अनुभव ने मुझे याद दिलाया है कि कड़ी मेहनत और दृढ़ संकल्प से कुछ भी संभव है। This experience reminded me that  
সবচেয়ে কঠিন কাজগুলিও ধৈর্য এবং অধ্যবসায় দিয়ে জয় করা যায়।
 ab agalee pahelee chunautee ka samay hain!",Positive
"अभी-अभी नॉर्दर्न लाइट्स को पहली बार देखा और मैं अवाक रह गया! प्रकृति वास्तव में अतुलनीय है। Ākāśa juṛē nardārna lā'iṭēra nācēra raṅa ēbaṁ pyāṭārnaguli kēbala mantramugdha karē. The Northern Lights left me feeling rejuvenated and refreshed যেন তাদের সৌন্দর্যের একটি অংশ আমাকে নতুন শক্তি এবং বিস্ময়ে পূর্ণ করেছে নর্দার্ন লাইটস কী সুন্দরতা ক দেখানা মেরী বাকেট লিস্ট মেইন সালং সে হাই, অর মুঝে উম্মীদ থী কি এ্যা: অর ভী বহুত কুছ হোগা উত্তরীয় আলোগুলি তাদের উজ্জ্বল রঙে আকাশকে পূর্ণ করে, আমাকে অনুপ্রাণিত করে and in awe of the beauty of our world.",Positive
"আয়ে জ্ঞান, প্রেরণা অউর সাকারাত্মকতা কি তালাশ জারি রাখেন, জাহান ভি হাম ইসে পা সকাতে হ্যায়, অওর ইসাকা উপযোগ আপনে আশাপাস কি দুনিয়া পর সাকারাত্মক প্রভাব দালানে কে মিথ্যা কারেন। বক্তৃতাটি জ্ঞান, অনুপ্রেরণা এবং উৎসাহে পূর্ণ ছিল এবং এটি আমাকে motivated এবং empowered বোধ করিয়েছে The energy in the room was electric and it was amazing to see so many people gathered together to listen someone who has made ইতিবাচক প্রভাব on their lives  मैं आपको दृढ़ता से सलाह देता हूं कि किसी ऐसे व्यक्ति के व्याख्यान या संगोष्ठी में भाग लेने के अवसर का लाभ उठाएं जो आपको प्रेरित करता है। अनुभव के परिणामस्वरूप दुनिया के बारे में आपका दृष्टिकोण बदल सकता है, जिसमें परिवर्तनकारी होने की क्षमता है। Āmāra priẏa baktākē ēkaṭi anuprēraṇāmūlaka baktr̥tā ditē dēkhāra abiśbāsya suyōga chila ēbaṁ ēṭi ēkaṭi jībana paribartana karāra abhijñatā chila.",Positive
"ইট'স হার্ড পুৎ ইনটু বোর্ডস হাউ মাচ আ তো রুম্যাটিক ইভেন্ট ক্যান এফেক্ট ইউ. যতই সময় অতিবাহিত হোক না কেন, emotional impact স্থির থাকে। It's exhausting to constantly battle ফ্ল্যাশব্যাক, দুঃস্বপ্ন এবং আঘাতের অন্যান্য লক্ষণগুলি symptoms trauma. काश लोग यह समझ पाते कि एक दर्दनाक अनुभव आपको कितना बदल सकता है। aaghaat ke bhaavanaatmak parinaam ke saath sangharsh karana sabase kathin cheejon mein se ek hai, aur main kisee par bhee isakee kaamana nahin karata.",Negative
"আমি যখন কোন নির্দিষ্ট নিবন্ধের উপর ফোকাস না করে একটি ম্যাগাজিনের মাধ্যমে skimming করছি তখন আমি এটি frustating  বলে মনে করি। এতো সামায় কা বারবাদি লাগতাহে মুঝে  यह जानना मुश्किल हो सकता है कि किसी पत्रिका को ब्राउज़ करते समय कहां से शुरू करना है या क्या देखना है, और मैं अक्सर खुद को लक्ष्यहीन रूप से पृष्ठों को पलटते हुए पाता हूं। While there may be interesting articles or features within the magazine, ফোকাসের অভাব একটি অর্থপূর্ণ উপায়ে বিষয়বস্তুর সাথে জড়িত হওয়া কঠিন করে তুলতে পারে।  aitar maddhome somoy par hoy tik e kintu kono lav hoy na",Negative
"আমি একটি স্থানীয় charity event এ  
volunteer হওয়ার সুযোগ পেয়েছি এবং এটি থেকে আমি অনেক  experience  gather করেছি বিং অ্যাবেল টু মেক এ 
ডিফারেন্স ইন দা লাইভস অফ আদার্স ইভেন ইন এ স্মল আওয়ায় ইজ ট্রুলি রিঅ্যাওয়ার্ডিং  समुदाय पर मेरे कार्यों के प्रभाव को देखकर मुझे बहुत खुशी और खुशी मिली। It was heartwarming to see people
 come together to support a great cause and আমি এটির একটি part হতে পেরে proud feel করেছি isane mujhe sikhne mila hai ki 
dene se na keval madad paane vaalon ko balki dene vaale ko bhee phaayada hota hai
",Positive
