sentence,sentiment
तोहनी जाहु मुंगेर बहुत आशा है तोहनी से उहाँ के लइकन कहित हलो।,positive
जुगला भैया के पेट निकल गेलौ😂😂😂,negative
Lau*a ke sarkar hai 🤣😂 😭😡😠,negative
पटना आहु हो भईया gardanibagh 🙏,positive
Jio Bihari babu ❤️🔥👍,positive
Bhunja khapri me bhunja hai aau hamni badi kha hiyae chatra district me.  Chaur ke boot ke gehu ke matar ke   Badi mani chig k bhunja kha hiye.,negative
Most funniest is tomato sauce hum rakhbau😂😂,positive
भइया लड़की के मैटर न हाई।तुहु हर बार लड़की लड़की करते रहा हु 🤣🤣🤣,negative
शानदार जबरजस्त हमहूँ मगही में कविता लिख हिओ | तोर कवितवा सुनलिओ बहुत अच्छा लगलो हमरा |दिलवा के छू गेलो |,positive
Sb chauri chor ke bhaag jito..😂😂 Bhaisia niyar dubal rh sanitizer me🤣🤣,positive
मसाला ना हलो वीडियो में,negative
Sir aur Bhaiya k hamar parnam 🙏,positive
Bilkul sahi bollahu bhaiya,positive
"जिगरा रख रे, प्यार हलुआ हई रे?😂😂  बहुत खूब भईया लोग जबरदस्त...👍  हमरो दऽ न भिया चाॅकलेटवा 😙  तोरा लगऽ हवऽ कि हमरा प्यार होतई आऊ हम तोरा बता देबो😂😂",positive
Chakrvidhi byaaaj lga diye😀,negative
साला पुलिस बर्बाद हो गया है,positive
30 sec piche #Gamchi wala k hai G 😄😄😄,positive
"भईया अब हमरा नींद लेबेला गाना मिल गेलो भईया .....,...... मज़ा आ गेलो❤❤❤❤❤",positive
Agle sal ke barsat me biharsharif ko Venice in peris bnabe ki Bari hko visyajeet bhiya,negative
"विक्किया , विक्रम्मा दुनो के मारs हल्हु न जी... और साथे-साथे बिंदुओं पीटा जा हलइ बेचारी...",negative
Bahut success karbho Bhaiya TuYaad hako hum v patrapada m thore niche raho liyobahut acha Bhaiya,positive
Hamani ke pura visvas hai bhaiya ki tu dono ek din  bhut  achha actor banbahun😊😊🥰🙏,positive
Bahut badiya kaam karethu sir hamni inspiration milo sir,positive
Jiya h VP bhaiya aaur Bharti bhaiya ki,positive
Video to bhariya halo par sandesh antim me galat de delhu,positive
Ki to Badi acha laga Hako ji vedioba,positive
Hamhu khaile hi kako ke litti chokha or malai au okre bhijun se kahe se ki hmr ghr bhi onhi hai na,positive
मुँहवा में मूत देतौ😂,negative
Khub sundar lagelo bhaiywaBahut bheed halau bhai,positive
Sir ji ke parnam aur bhai tor ram slam kar rahliyo he bahut badhiya kavita likalthin he sir ji hum to abhi appan maiya babuji ke sathe rah rahliyo he aau gharhi se mehnat kar ke bharti dekh rahliyo hejauna din humar aim pura ho jaite to maiya babuji ke bhi sathe rakhabai soch rahliyo he,positive
Videowa Share Karhu Hal. Sabke Whatsapp par forward kar dehu hal download kar kar ke ...Ghare Gahr Ghumna Zaruri hai ekra....Akhni Sabse jaruri hai Jankari...Jankari hi Bachaaw hayee,positive
Magadhi s kaafi mel karaiy chi.,positive
Telwa sabunwa lagaee parah hai ki na batawa to,mix
"अप्पन धर्म, अप्पन संस्कृति के बारे में लइकन के सिखावे ला इ गेम जरूर डाउनलोड करीह । लइकन के बढ़िया भविष्य ला खूब मदद करतो इ गेम। https://indicroots.page.link/mb",positive
अब परशुराम रूप धरे पड़ेगा प्रवीन चाचा इ अब अब हल्का में लेइत हब। गठिया सरकार हब खाली 3-5 करता है इ सब,negative
Kon kon garialu no.wa pe,neutral
Pyar rahtayi ta layiki bhaga ke pyar hotayisahi baat😄😄😄😄😄😄,positive
बालू मत ढोये उसे शराब ढोये ताकि V I  P  लोग के पास आसानी से पहुच जय।,negative
Bhut behtarin idea aur adakari h ap dono ka ..jai bihar👍,positive
आपदोनी लोगन के हम बहुत बड़का फैन हैं भैया  जय मगध जय बिहार,positive
I kitaba kaha miltay sir moti ke Kala Pani jata batahu na,positive
जितनी अच्छी सुविधाओं के बारे में बताया 🤩 उससे अधिक तो उसके charge भी होंगे 😝😝 हम सही बोला हउ ना jugal भैया 🤪🤪,negative
Bara acha laglo ji,positive
Kaun gaun hakia,neutral
😂😂😂 मजा आ गेलो 😂😂😂,positive
एक दम कबारले रहित हहु भइया।,positive
Bhut achha likhltin h,positive
मगही से जुडल सभे रचना के बारे में जानकारी दे द भाई लोग!,positive
Swaagat Karahun Yugal Kishore Bharti Ke.Dher Din Par Ailo Hey.Au Share Karahun Video Ke Dher Se Dher .Sab Tohni ke Haanth Jod Ke Holi Ke Dher Saara Subhkaamna Hai😍😍.,positive
